temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,pressure_msl,cloud_cover,wind_speed_10m,wind_direction_10m,wind_gusts_10m,soil_temperature_0_to_7cm,hour_sin,hour_cos,day_of_year_sin,day_of_year_cos
22.148,77.839775,18.098,0.0,1013.6,0.0,6.618519,315.0001,13.679999,22.648,0.25881904510252074,0.9659258262890683,-0.9778483415056567,0.20931464596304888
21.248,82.50016,18.148,0.0,1014.1,0.0,6.696387,323.74606,14.4,21.798,0.49999999999999994,0.8660254037844387,-0.9778483415056567,0.20931464596304888
20.248,87.18903,18.048,0.0,1014.2,0.0,6.792466,327.99466,14.759999,21.048,0.7071067811865476,0.7071067811865476,-0.9778483415056567,0.20931464596304888
19.398,89.904655,17.698,0.0,1014.2,0.0,7.42159,337.1663,14.759999,20.448,0.8660254037844386,0.5000000000000001,-0.9778483415056567,0.20931464596304888
19.198,89.89002,17.498,0.0,1013.8,0.0,8.557102,345.3791,13.32,19.848,0.9659258262890683,0.25881904510252074,-0.9778483415056567,0.20931464596304888
19.748,88.806206,17.848,0.0,1014.1,0.0,9.0,360.0,10.799999,19.348,1.0,6.123233995736766e-17,-0.9778483415056567,0.20931464596304888
19.698,89.6443,17.948,0.0,1013.7,0.0,8.4042845,9.865748,10.799999,18.948,0.9659258262890683,-0.25881904510252063,-0.9778483415056567,0.20931464596304888
20.298,89.40872,18.498,0.0,1013.6,0.0,7.968939,18.435053,10.08,18.698,0.8660254037844387,-0.4999999999999998,-0.9778483415056567,0.20931464596304888
19.098,92.17863,17.798,0.0,1013.6,0.0,8.373386,25.463305,10.799999,18.498,0.7071067811865476,-0.7071067811865475,-0.9778483415056567,0.20931464596304888
17.848,95.075066,17.048,0.0,1013.2,0.0,8.373386,25.463305,12.959999,18.348,0.49999999999999994,-0.8660254037844387,-0.9778483415056567,0.20931464596304888
17.798,94.77248,16.948,0.0,1013.9,0.0,7.729527,27.758451,14.04,18.248,0.258819045102521,-0.9659258262890682,-0.9778483415056567,0.20931464596304888
18.148,94.18872,17.198,0.0,1014.3,0.0,12.24,28.072395,15.84,18.548,1.2246467991473532e-16,-1.0,-0.9778483415056567,0.20931464596304888
20.148,83.67954,17.298,0.0,1015.2,0.0,13.089354,31.504223,23.039999,20.298,-0.2588190451025208,-0.9659258262890683,-0.9778483415056567,0.20931464596304888
21.648,69.811424,15.898,0.0,1015.9,0.0,13.830749,38.65983,25.919998,22.498,-0.4999999999999997,-0.8660254037844388,-0.9778483415056567,0.20931464596304888
23.248,61.347427,15.398,0.0,1016.0,0.0,12.229406,42.614033,25.919998,24.548,-0.7071067811865471,-0.7071067811865479,-0.9778483415056567,0.20931464596304888
24.798,55.894196,15.398,0.0,1016.0,0.0,11.212135,42.397392,26.28,26.598,-0.8660254037844385,-0.5000000000000004,-0.9778483415056567,0.20931464596304888
26.048,51.892128,15.398,0.0,1015.0,0.0,10.195057,42.13753,25.919998,28.198,-0.9659258262890683,-0.25881904510252063,-0.9778483415056567,0.20931464596304888
26.948,49.36828,15.448,0.0,1014.5,0.0,10.233123,39.289394,25.56,29.248,-1.0,-1.8369701987210297e-16,-0.9778483415056567,0.20931464596304888
27.798,47.27224,15.548,0.0,1013.9,0.0,10.990322,31.607454,22.319998,29.748,-0.9659258262890684,0.2588190451025203,-0.9778483415056567,0.20931464596304888
27.948,46.56085,15.448,0.0,1013.7,0.0,12.413477,29.5387,23.039999,29.648,-0.8660254037844386,0.5000000000000001,-0.9778483415056567,0.20931464596304888
27.798,47.27224,15.548,0.0,1014.0,1.8,13.217443,29.357658,22.68,28.898,-0.7071067811865477,0.7071067811865474,-0.9778483415056567,0.20931464596304888
27.048,52.48234,16.498,0.0,1013.6,2.6999998,8.427383,19.983198,16.56,27.598,-0.5000000000000004,0.8660254037844384,-0.9778483415056567,0.20931464596304888
25.598,58.64372,16.898,0.0,1013.9,3.6,8.557102,14.620926,14.759999,25.798,-0.25881904510252157,0.9659258262890681,-0.9778483415056567,0.20931464596304888
24.298,63.977005,17.048,0.0,1014.4,7.2,12.10157,22.751022,19.8,24.248,0.0,1.0,-0.9741004551724206,0.22611568550828803
23.548,65.66609,16.748,0.0,1015.1,9.0,16.418526,37.875053,27.72,23.298,0.25881904510252074,0.9659258262890683,-0.9741004551724206,0.22611568550828803
